the_geom,cost_estimate,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cartodb_id,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E6100000000000C0A27452C0000000608C624440,901650,0101000020110F0000F90601ED44595FC12C088A92C7FD5241,40.7699089050293,-73.8224334716797,Queens,A1,ALT 1 Enlargement,421620259,4108301,A1,6054,true,3733,9/16/2019,3/19/2020 12:00,144-55,32 AVE,407,HY DESIGN & DEVELOPMENT L,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000403E7252C0000000608C624440,150000,0101000020110F000097EA6C8834555FC12C088A92C7FD5241,40.7699089050293,-73.7850494384766,Queens,A1,ALT 1 Enlargement,421454394,4134507,A1,6055,true,276,1/15/2019,12/23/2019 12:00,32-33,204 STREET,411,GVG CONTRACTING CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
0101000020E610000000000080817F52C0000000C08E624440,24171508,0101000020110F00004008EAB4BB6B5FC16D2E5E3CCAFD5241,40.7699813842773,-73.9922790527344,Manhattan,NB,New Building,121190585,1090820,NB,6056,false,163321,4/5/2019,4/4/2020 12:00,611,W 56 ST,104,"FOUNDATIONS GROUP I, INC",RESIDENTIAL: APARTMENT HOUSES,37,80
0101000020E610000000000020C66F52C00000004092624440,416176,0101000020110F000075CC13CE02515FC153612B29CEFD5241,40.7700881958008,-73.746467590332,Queens,NB,New Building,420317614,4168767,NB,6057,false,2812,11/19/2019,5/15/2020 12:00,240-27,DEPEW AVE,411,SCHINCO CONSTRUCTION LLC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000A0A37D52C0000000A094624440,583015,0101000020110F0000905EE8FC8F685FC12A0000D3D0FD5241,40.7701606750488,-73.9631118774414,Manhattan,A1,ALT 1 Enlargement,121810139,1042804,A1,6058,true,7517,8/12/2019,7/28/2020 12:00,127,EAST 71ST STREET,108,"MATRIX, INC",RESIDENTIAL: 1 & 2 FAMILY HOUSES,5,1
0101000020E610000000000080E57E52C00000008097624440,51354224,0101000020110F0000ED7799B9B26A5FC127F45F0CD4FD5241,40.7702484130859,-73.9827575683594,Manhattan,NB,New Building,121190219,1090158,NB,6059,false,346988,11/1/2019,1/15/2020 12:00,1865,BROADWAY,107,LENDLEASE(US)CONSTRUCTION,RESIDENTIAL: APARTMENT HOUSES,33,172
0101000020E6100000000000A0907B52C0000000E099624440,973248,0101000020110F000017C2EE070A655FC1B8FE34B6D6FD5241,40.770320892334,-73.9307022094727,Queens,NB,New Building,421400451,4005639,NB,6060,false,6576,1/29/2019,1/20/2020 12:00,30-26,14 STREET,401,HYPER STRUCTURE CORP,RESIDENTIAL: APARTMENT HOUSES,4,7
0101000020E6100000000000808E7B52C0000000609F624440,1387944,0101000020110F000019D7E46B06655FC1F58E30E1DCFD5241,40.7704887390137,-73.9305725097656,Queens,NB,New Building,421345538,4005637,NB,6061,false,9378,5/1/2019,2/21/2020 12:00,30-18,14 STREET,401,NY DYNAMIC CONSTRUCTION C,RESIDENTIAL: APARTMENT HOUSES,5,10
0101000020E610000000000080A57152C0000000C09F624440,888000,0101000020110F00009BB2581231545FC13C05D94CDDFD5241,40.7705001831055,-73.7757263183594,Queens,NB,New Building,421700305,4135811,NB,6062,false,6000,10/24/2019,12/8/2019 12:00,212-02,33RD ROAD,411,TGC CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000040F96E52C0000000C09F624440,532208,0101000020110F0000551FDFCDA64F5FC13C05D94CDDFD5241,40.7705001831055,-73.7339630126953,Queens,NB,New Building,421581149,4171581,NB,6063,false,3596,6/4/2019,5/31/2020 12:00,46-17,LITTLE NECK PARKWAY,411,W.JAKE CONSTRUCTION CORP,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
